rank,canonical_name,rxcui,priority_score,category
48,TETRAHYDROZOLINE HYDROCHLORIDE,1052943,99,
49,OLANZAPINE,312076,99,
50,ECULIZUMAB,2706351,99,
51,ADENOSINE,296,99,
52,ALUMINUM NITRATE,2360133,99,
53,NITISINONE,1790310,99,
54,TITANIUM DIOXIDE,38323,99,
55,ASCORBIC ACID,1365980,99,
56,ONDANSETRON HYDROCHLORIDE,198052,99,
57,AZITHROMYCIN DIHYDRATE,248656,99,
58,DIVALPROEX SODIUM,266856,99,
59,METOCLOPRAMIDE HYDROCHLORIDE,104884,98,
60,ALUMINUM ZIRCONIUM TETRACHLOROHYDREX GLY,1305896,98,
61,ACETAMINOPHEN,1148399,98,
62,DIPHENHYDRAMINE HCL,1049906,98,
63,LAMOTRIGINE,103968,98,
64,BENZALKONIUM CHLORIDE,1012100,98,
65,LORATADINE,311372,98,
66,CISPLATIN,309311,98,
67,OCTINOXATE,13369,98,
68,MENTHOL,476973,98,
69,MAGNESIUM HYDROXIDE,253017,98,
70,PYRITHIONE ZINC,209884,98,
71,PYRITHIONE ZINC,1043244,98,
72,AMLODIPINE BESYLATE,197361,98,
73,ALUMINUM PHOSPHATE,17618,98,
74,PERPHENAZINE,198075,98,
75,NAPROXEN,198012,98,
76,POLYETHYLENE GLYCOL 400,477589,98,
77,GLYCERIN,1046700,98,
78,ACETAMINOPHEN,1113705,98,
79,RIVASTIGMINE TARTRATE,312835,98,
80,KETOROLAC TROMETHAMINE,1665459,98,
81,BLACK MUSTARD SEED,1486677,98,
82,AMBROSIA ARTEMISIIFOLIA WHOLE,1347557,98,
83,DIMETHICONE,876980,98,
84,LIDOCAINE HYDROCHLORIDE,1011852,98,
85,DIPYRIDAMOLE,197622,98,
86,NAPROXEN,311915,98,
87,ALCOHOL,581662,98,
88,ACETAMINOPHEN,313782,98,
89,DEXTROMETHORPHAN HYDROBROMIDE,996520,97,
90,CASTOR OIL,204691,97,
91,BUPROPION HYDROCHLORIDE,993541,97,
92,LORATADINE,311373,97,
93,TRAMADOL HYDROCHLORIDE,833709,97,
94,BROMPHENIRAMINE MALEATE,2685263,97,
95,LORLATINIB,2103169,97,
96,ALLOPURINOL,197320,97,
97,GLYCERIN,2642220,97,
98,DIMETHICONE,252294,97,
99,LIDOCAINE HYDROCHLORIDE,1010739,97,
100,ALUMINUM SULFATE,17621,97,
101,BACITRACIN ZINC,204602,97,
102,AMANITA PANTHERINA FRUITING BODY,2360891,97,
103,CLOTRIMAZOLE,309367,97,
104,DICLOFENAC SODIUM,855633,97,
105,TOCILIZUMAB,2680287,97,
106,AMMONIUM BROMIDE,1313309,97,
107,AMMONIUM CARBONATE,1310190,97,
108,MENTHOL, UNSPECIFIED FORM,282812,97,
109,OMEPRAZOLE,402014,97,
110,ASPIRIN,308416,97,
111,OSELTAMIVIR PHOSPHATE,1115698,97,
112,DOXYLAMINE SUCCINATE,1101446,97,
113,LAMIVUDINE,200082,97,
114,PREDNISONE,312617,97,
115,ATROPINE SULFATE,1190795,97,
116,POTASSIUM CHLORIDE,312529,97,
117,CROMOLYN SODIUM,831261,97,
118,DULOXETINE HYDROCHLORIDE,596926,97,
119,PREDNISONE,198144,96,
120,TRANEXAMIC ACID,238720,96,
121,DOXORUBICIN HYDROCHLORIDE,1191138,96,
122,PALONOSETRON HYDROCHLORIDE,1728055,96,
123,SODIUM FLUORIDE,416783,96,
124,AMMONIA,1299884,96,
125,MENTHOL,2642278,96,
126,IBUPROFEN,310965,96,
127,LEVONORGESTREL AND ETHINYL ESTRADIOL,2049264,96,
128,AMITRIPTYLINE HYDROCHLORIDE,856834,96,
129,AMMONIUM CHLORIDE,712,96,
130,EZETIMIBE,476345,96,
131,AMMONIUM PHOSPHATE, DIBASIC,1427061,96,
132,ACETAMINOPHEN,1375932,96,
133,PRAMIPEXOLE DIHYDROCHLORIDE,901546,96,
134,POLYETHYLENE GLYCOL 3350,876193,96,
135,LEFLUNOMIDE,205284,96,
136,LUBIPROSTONE,616578,96,
137,VERAPAMIL HYDROCHLORIDE,897666,96,
138,MENTHOL,1371206,96,
139,AMPICILLIN SODIUM,1659592,96,
140,BENZOCAINE,727988,96,
141,ZIPRASIDONE HYDROCHLORIDE,313776,96,
142,LIDOCAINE,1543069,96,
143,GLIPIZIDE,310488,96,
144,WHITE PETROLATUM,1494207,96,
145,SODIUM MONOFLUOROPHOSPHATE,545626,96,
146,BACITRACIN,1648110,96,
147,OXYGEN,348831,96,
148,SALICYLIC ACID,9525,96,
149,WHITE PETROLATUM,204754,95,
150,GADOBUTROL,84990,95,
151,BENZALKONIUM CHLORIDE,1038558,95,
152,ATROPINE SULFATE,1666781,95,
153,CLOPIDOGREL BISULFATE,309362,95,
154,KETOROLAC TROMETHAMINE,860107,95,
155,ENTECAVIR,485434,95,
156,RIZATRIPTAN BENZOATE,213322,95,
157,TRAMADOL HYDROCHLORIDE,835603,95,
158,CAPECITABINE,200327,95,
159,TRAZODONE HYDROCHLORIDE,856377,95,
160,MIRABEGRON,1300801,95,
161,SILVER SULFADIAZINE,106351,95,
162,SEVELAMER CARBONATE,749206,95,
163,IBUPROFEN,197805,95,
164,LEUPROLIDE ACETATE,752884,95,
165,OXYGEN,347123,95,
166,SIMVASTATIN,198211,95,
167,DILTIAZEM HYDROCHLORIDE,830795,95,
168,LIDOCAINE,1869797,95,
169,LEVOTHYROXINE SODIUM,966249,95,
170,MAFENIDE ACETATE,201185,95,
171,INDOMETHACIN,197818,95,
172,CAPSAICIN,646333,95,
173,HYDROCORTISONE ACETATE,1545172,95,
174,VANCOMYCIN HYDROCHLORIDE,1807513,95,
175,AZACITIDINE,485246,95,
176,LORAZEPAM,197901,95,
177,ESOMEPRAZOLE MAGNESIUM DIHYDRATE,606726,95,
178,RANOLAZINE,616749,95,
179,WITCH HAZEL,200295,94,
180,METFORMIN HYDROCHLORIDE,861769,94,
181,CHOLESTYRAMINE,1801279,94,
182,SODIUM CHLORIDE,486515,94,
183,IBUPROFEN,197803,94,
184,AMLODIPINE BESYLATE,308136,94,
185,AMPHETAMINE ASPARTATE MONOHYDRATE,687043,94,
186,ALCOHOL,1041849,94,
187,ALCOHOL, X-RAY EXPOSED (1000 RAD),1368126,94,
188,ALCOHOL,616763,94,
189,DIMENHYDRINATE,198603,94,
190,BENZOCAINE,1399,94,
191,LEVOTHYROXINE SODIUM,966222,94,
192,LANSOPRAZOLE,311277,94,
193,CALCIUM CARBONATE,308907,94,
194,PREDNISOLONE ACETATE,1376336,94,
195,ZOLEDRONIC ACID,351114,94,
196,PSEUDOEPHEDRINE HYDROCHLORIDE,1049154,94,
197,ALCOHOL,581660,94,
198,TETRACYCLINE HYDROCHLORIDE,198250,94,
199,EPTIFIBATIDE,200349,94,
200,ATORVASTATIN CALCIUM TRIHYDRATE,259255,94,
201,ACETAMINOPHEN,993781,94,
202,ONDANSETRON HYDROCHLORIDE,312086,94,
203,CYCLOBENZAPRINE HYDROCHLORIDE,828320,94,
204,VALSARTAN,349199,94,
205,HYDROCHLOROTHIAZIDE,197885,94,
206,ALLOPURINOL,197319,94,
207,DOXYCYCLINE HYCLATE,1649988,94,
208,ISOPROPYL ALCOHOL,797544,94,
209,MENTHOL,6750,93,
210,LIDOCAINE,1737778,93,
211,APIS MELLIFERA,285219,93,
212,ARABICA COFFEE BEAN,2695791,93,
213,DEXMETHYLPHENIDATE HYDROCHLORIDE,2562186,93,
214,CADMIUM SULFATE,1368145,93,
215,TRAMADOL HYDROCHLORIDE,833711,93,
216,IBUPROFEN,204442,93,
217,TRIMETHOBENZAMIDE HYDROCHLORIDE,860771,93,
218,TAMSULOSIN HYDROCHLORIDE,863669,93,
219,MENTHOL,1489073,93,
220,HALOPERIDOL,197754,93,
221,OSELTAMIVIR PHOSPHATE,728109,93,
222,POVIDONE-IODINE,797730,93,
223,NALTREXONE HYDROCHLORIDE,1483744,93,
224,ROPINIROLE HYDROCHLORIDE,312846,93,
225,KETOCONAZOLE,106336,93,
226,FENOFIBRATE,349287,93,
227,GUANFACINE HYDROCHLORIDE,197745,93,
228,GUAIFENESIN,310621,93,
229,MIRVETUXIMAB SORAVTANSINE,2621553,93,
230,LACTULOSE,391937,93,
231,URSODIOL,858747,93,
232,ERYTHROMYCIN,318202,93,
233,ALCOHOL,448,93,
234,DOCETAXEL ANHYDROUS,1093280,93,
235,BACLOFEN,197392,93,
236,CLONIDINE HYDROCHLORIDE,884173,93,
237,SILVER,2606543,93,
238,MINOXIDIL,311724,93,
239,BENZALKONIUM CHLORIDE,2553300,92,
240,DECITABINE,636631,92,
241,TADALAFIL,403957,92,
242,CAFFEINE,198520,92,
243,AMOXICILLIN,562508,92,
244,AMITRIPTYLINE HYDROCHLORIDE,856783,92,
245,CLONIDINE HYDROCHLORIDE,884189,92,
246,NITROUS OXIDE,312022,92,
247,ACONITUM NAPELLUS,1310220,92,
248,BACLOFEN,308517,92,
249,NISOLDIPINE,763519,92,
250,CAPSAICIN,1992,92,
251,PROPYLHEXEDRINE,8792,92,
252,ASPIRIN,212033,92,
253,HYPROMELLOSE 2208 (100 MPA.S),1300444,92,
254,CALCIUM FLUORIDE,1905,92,
255,LIDOCAINE,1595448,92,
256,CYCLOBENZAPRINE HYDROCHLORIDE,828348,92,
257,TRAVOPROST,284008,92,
258,OXYGEN,348544,92,
259,CEFAZOLIN SODIUM,1665050,92,
260,LIDOCAINE HYDROCHLORIDE,1010895,92,
261,NORGESTIMATE AND ETHINYL ESTRADIOL,240128,92,
262,TOPIRAMATE,199889,92,
263,METOPROLOL TARTRATE,866924,92,
264,RANITIDINE HYDROCHLORIDE,198191,92,
265,DIMETHICONE,1534833,92,
266,OSELTAMIVIR PHOSPHATE,312122,92,
267,CELECOXIB,205323,92,
268,FINASTERIDE,200172,92,
269,DOXYCYCLINE,1649990,91,
270,ACETAMINOPHEN,313820,91,
271,MENTHOL,415974,91,
272,ALLANTOIN,1442087,91,
273,SILDENAFIL CITRATE,314228,91,
274,LIDOCAINE,2590656,91,
275,DOXEPIN HYDROCHLORIDE,966787,91,
276,FEXOFENADINE HYDROCHLORIDE,997420,91,
277,APRACLONIDINE HYDROCHLORIDE,211020,91,
278,GUANFACINE HYDROCHLORIDE,862006,91,
279,CAMPHOR (SYNTHETIC),727137,91,
280,HYDROCHLOROTHIAZIDE,197887,91,
281,MESALAMINE,833234,91,
282,DIPHENHYDRAMINE HYDROCHLORIDE,1723740,91,
283,DIPHENHYDRAMINE HYDROCHLORIDE,1049630,91,
284,ACETAMINOPHEN,307686,91,
285,BENZOYL PEROXIDE,142034,91,
286,LIDOCAINE,1745091,91,
287,AMOXICILLIN,308194,91,
288,ESZOPICLONE,485440,91,
289,TIZANIDINE HYDROCHLORIDE,485485,91,
290,NITISINONE,1941464,91,
291,CLINDAMYCIN PHOSPHATE,197519,91,
292,NICOTINE,359818,91,
293,CLONIDINE HYDROCHLORIDE,1013930,91,
294,ACETAMINOPHEN,1369842,91,
295,PREGABALIN,483440,91,
296,CARVEDILOL,686924,91,
297,GUAIFENESIN,1305603,91,
298,TROPICAMIDE,314238,91,
299,CHLORTHALIDONE,197499,90,
300,DOXYCYCLINE HYCLATE,1650143,90,
301,FLUTICASONE PROPIONATE,1797907,90,
302,TRANDOLAPRIL,199351,90,
303,CALCIUM CARBONATE,577040,90,
304,CODEINE SULFATE,997170,90,
305,CITALOPRAM HYDROBROMIDE,309314,90,
306,AMANITA MUSCARIA FRUITING BODY,1310111,90,
307,OLOPATADINE HYDROCHLORIDE,1111339,90,
308,SOLIFENACIN SUCCINATE,477367,90,
309,ACETAMINOPHEN,1092189,90,
310,MEGESTROL ACETATE,860225,90,
311,BACITRACIN ZINC,1359350,90,
312,ISOTRETINOIN,197843,90,
313,DEXTRAN 70,996202,90,
314,ALCOHOL,247835,90,
315,LURASIDONE HYDROCHLORIDE,1235247,90,
316,CALCIUM SULFIDE,90521,90,
317,GLIMEPIRIDE,199246,90,
318,BENZOCAINE,238910,90,
319,METFORMIN HYDROCHLORIDE,861007,90,
320,CAMPHOR (SYNTHETIC),849504,90,
321,FLUTICASONE PROPIONATE,895987,90,
322,ALCOHOL,582753,90,
323,HYDROGEN PEROXIDE,91349,90,
324,QUETIAPINE FUMARATE,312743,90,
325,MINOXIDIL,645146,90,
326,COLESEVELAM HYDROCHLORIDE,866910,90,
327,POTASSIUM CHLORIDE,1867544,90,
328,SUMATRIPTAN SUCCINATE,313165,90,
329,UNDECYLENIC ACID,1435154,89,
330,GUAIFENESIN,636522,89,
331,POTASSIUM CITRATE,898490,89,
332,PENICILLIN G BENZATHINE,731564,89,
333,CITRIC ACID MONOHYDRATE,221079,89,
334,CALENDULA OFFICINALIS FLOWER,1309289,89,
335,MODAFINIL,205324,89,
336,ESTRADIOL,310169,89,
337,CHLOROXYLENOL,436367,89,
338,PROPRANOLOL HYDROCHLORIDE,856448,89,
339,DEXTROMETHORPHAN HYDROBROMIDE,1043543,89,
340,MENTHOL,282805,89,
341,CETIRIZINE HYDROCHLORIDE,2558501,89,
342,TOLNAFTATE,313423,89,
343,TROLAMINE SALICYLATE,313518,89,
344,BACLOFEN,197391,89,
345,ANTIHEMOPHILIC FACTOR (RECOMBINANT), FC-VWF-XTEN FUSION PROTEIN-EHTL,2631088,89,
346,DICYCLOMINE HYDROCHLORIDE,991061,89,
347,CHLORHEXIDINE GLUCONATE,20791,89,
348,KETOROLAC TROMETHAMINE,1665461,89,
349,ENOXAPARIN SODIUM,854228,89,
350,VARENICLINE TARTRATE,2572365,89,
351,ZINC OXIDE,244638,89,
352,IVERMECTIN,311207,89,
353,PANTOPRAZOLE SODIUM,283669,89,
354,PENICILLIN V POTASSIUM,834102,89,
355,PHENYLEPHRINE HYDROCHLORIDE,1049182,89,
356,CHENODIOL,618469,89,
357,WHITE PETROLATUM,1049075,89,
358,SUMATRIPTAN,401978,89,
359,ACETAMINOPHEN,1043400,88,
360,PROPRANOLOL HYDROCHLORIDE,856535,88,
361,LIDOCAINE,2199672,88,
362,BISMUTH SUBSALICYLATE,308761,88,
363,BISACODYL,198509,88,
364,FULVESTRANT,727762,88,
365,IBUPROFEN,310964,88,
366,CETYLPYRIDINIUM CHLORIDE,1100924,88,
367,DIMETHICONE,314216,88,
368,TERBIUM,1367186,88,
369,DEXTROMETHORPHAN HYDROBROMIDE,1364914,88,
370,LIDOCAINE HYDROCHLORIDE,142440,88,
371,ATORVASTATIN CALCIUM TRIHYDRATE,617310,88,
372,ZINC GLUCONATE,58300,88,
373,POMALIDOMIDE,1369718,88,
374,BETAMETHASONE ACETATE,1516,88,
375,CETIRIZINE HYDROCHLORIDE,1014673,88,
376,PREDNISONE,312615,88,
377,SCOPOLAMINE,226552,88,
378,MENTHOL,1492398,88,
379,ESMOLOL HYDROCHLORIDE,1736546,88,
380,FLUDARABINE PHOSPHATE,1740865,88,
381,MITOMYCIN,1740898,88,
382,CALCIUM CHLORIDE,847617,88,
383,EPINEPHRINE,727373,88,
384,AMOXICILLIN,308189,88,
385,ARNICA MONTANA,285208,88,
386,HYDROCORTISONE,203105,88,
387,CLONAZEPAM,197527,88,
388,RIZATRIPTAN BENZOATE,312840,88,
389,ESTRADIOL,197658,87,
390,VENLAFAXINE HYDROCHLORIDE,313584,87,
391,BISACODYL,308753,87,
392,HYDROCHLOROTHIAZIDE,403853,87,
393,SUCCINYLCHOLINE CHLORIDE,1594589,87,
394,BELLADONNA LEAF,314517,87,
395,NALOXONE HYDROCHLORIDE,312289,87,
396,ABRUS PRECATORIUS SEED,1309951,87,
397,WART REMOVER,312881,87,
398,CALCIUM SULFATE ANHYDROUS,1328529,87,
399,NORTRIPTYLINE HYDROCHLORIDE,317136,87,
400,SERTRALINE HYDROCHLORIDE,861064,87,
401,ACHILLEA MILLEFOLIUM,1372250,87,
402,ROCURONIUM BROMIDE,1234995,87,
403,SODIUM NITROPRUSSIDE,240793,87,
404,NIACINAMIDE,7405,87,
405,NABUMETONE,311893,87,
406,SELENIUM SULFIDE,204642,87,
407,DELPHINIUM STAPHISAGRIA SEED,1309677,87,
408,SODIUM CHLORIDE,1807578,87,
409,FAMOTIDINE,199047,87,
410,PALIPERIDONE,672567,87,
411,SALICYLIC ACID,346298,87,
412,PIPERONYL BUTOXIDE,283219,87,
413,MELALEUCA CAJUPUTI WHOLE,2535503,87,
414,POTASSIUM CHLORIDE,312504,87,
415,BETAMETHASONE DIPROPIONATE,848180,87,
416,DIPHENHYDRAMINE HYDROCHLORIDE,1248354,87,
417,METOPROLOL SUCCINATE,866419,87,
418,DULOXETINE HYDROCHLORIDE,596930,87,
419,MENTHOL,485287,86,
420,PRIMIDONE,96304,86,
421,OCTREOTIDE ACETATE,312068,86,
422,LOPERAMIDE HYDROCHLORIDE,1250685,86,
423,DIMETHICONE,198852,86,
424,SALIX ALBA WHOLE,1801067,86,
425,CIMETIDINE,197505,86,
426,DIMETHICONE,978001,86,
427,ACETAMINOPHEN,1243679,86,
428,HYDROCHLOROTHIAZIDE,197886,86,
429,ICOSAPENT ETHYL,1304979,86,
430,CHLORPHENIRAMINE MALEATE,1363309,86,
431,ANILINE,1441546,86,
432,OXYGEN,312172,86,
433,BENAZEPRIL HYDROCHLORIDE,898723,86,
434,FUROSEMIDE,197732,86,
435,OLIPUDASE ALFA,2610411,86,
436,ACETAMINOPHEN,1046781,86,
437,HYDROCHLOROTHIAZIDE,429503,86,
438,ESMOLOL HYDROCHLORIDE,979432,86,
439,CROTON OIL,1309665,86,
440,ACYCLOVIR,197310,86,
441,LEVETIRACETAM,311288,86,
442,AMOXICILLIN,617296,86,
443,BISMUTH SUBSALICYLATE,308760,86,
444,NYSTATIN,584414,86,
445,SALICYLIC ACID,417424,86,
446,GABAPENTIN,310431,86,
447,SALICYLIC ACID,240559,86,
448,POVIDONE-IODINE,8611,86,
449,PREDNISONE,1303125,85,
450,OMEPRAZOLE,2003656,85,
451,PRAVASTATIN SODIUM,904481,85,
452,TIZANIDINE HYDROCHLORIDE,313412,85,
453,COCOA BUTTER,21389,85,
454,NYSTATIN,312055,85,
455,ACETAMINOPHEN, DEXTROMETHORPHAN HBR, AND ACETAMINOPHEN, CHLORPHENIRAMINE MALEATE, DEXTROMETHORPHAN HBR,2636656,85,
456,GLYCERIN,4910,85,
457,LEVONORGESTREL,483325,85,
458,LIDOCAINE,1421893,85,
459,ARSENIC TRIOXIDE,18330,85,
460,HYDROCORTISONE,212567,85,
461,DEXAMETHASONE,197580,85,
462,CETIRIZINE HYDROCHLORIDE,1014675,85,
463,CHLORDIAZEPOXIDE HYDROCHLORIDE,889614,85,
464,SODIUM FLUORIDE,245593,85,
465,LORATADINE,665078,85,
466,FLUCYTOSINE,197702,85,
467,ANAS PLATYRHYNCHOS FEATHER,892851,85,
468,RAMIPRIL,198189,85,
469,LOPERAMIDE HYDROCHLORIDE,978010,85,
470,NICOTINE,105071,85,
471,OXYCODONE HYDROCHLORIDE,1049611,85,
472,PRUCALOPRIDE SUCCINATE,2107345,85,
473,CAPSICUM,319780,85,
474,SPIRONOLACTONE,198223,85,
475,FLUCONAZOLE,197699,85,
476,DIMETHICONE 20,2665902,85,
477,RAMELTEON,577348,85,
478,ALUMINUM ZIRCONIUM OCTACHLOROHYDREX GLY,1306096,85,
479,OLODATEROL HYDROCHLORIDE,1651266,84,
480,ACETAMINOPHEN,1110988,84,
481,MEDROXYPROGESTERONE ACETATE,1000153,84,
482,CAFFEINE,1886,84,
483,ABACAVIR SULFATE,242679,84,
484,LORATADINE,1242399,84,
485,ANACARDIUM OCCIDENTALE FRUIT,1358956,84,
486,SEMECARPUS ANACARDIUM JUICE,1350214,84,
487,PENICILLAMINE,198070,84,
488,METHOCARBAMOL,238175,84,
489,BROMPHENIRAMINE MALEATE,1357010,84,
490,OLEA EUROPAEA WHOLE,1376347,84,
491,METHYLPREDNISOLONE,259966,84,
492,DIAZEPAM,197590,84,
493,SODIUM FLUORIDE,891775,84,
494,HYDROCHLOROTHIAZIDE,197770,84,
495,DAPTOMYCIN,1996246,84,
496,ACETAMINOPHEN,209387,84,
497,FENOPROFEN CALCIUM,310291,84,
498,EVEROLIMUS,845507,84,
499,VIGABATRIN,199521,84,
500,DAPAGLIFLOZIN PROPANEDIOL,1486977,84,
501,HYOSCYAMINE SULFATE,1046770,84,
502,ANAGALLIS ARVENSIS WHOLE,1336266,84,
503,DILL,975763,84,
504,TETRACAINE HYDROCHLORIDE,1547771,84,
505,EPINEPHRINE,1660014,84,
506,ADENINE,290,84,
507,MICONAZOLE NITRATE,998428,84,
508,DIPHENHYDRAMINE HYDROCHLORIDE,1049909,84,
509,METRONIDAZOLE,314106,83,
510,PROCHLORPERAZINE MALEATE,198365,83,
511,SUCRALFATE,314234,83,
512,OXYMETAZOLINE HYDROCHLORIDE,1000990,83,
513,CROMOLYN SODIUM,831246,83,
514,FUROSEMIDE,313988,83,
515,GRINDELIA HIRSUTULA WHOLE,1492939,83,
516,BENZALKONIUM CHLORIDE,1038856,83,
517,PHENOXYETHANOL,89552,83,
518,TOPIRAMATE,199888,83,
519,LEVOTHYROXINE SODIUM,966253,83,
520,AIR,411,83,
521,INDIGO,1426889,83,
522,ZOLPIDEM TARTRATE,854873,83,
523,NICOTINE,314119,83,
524,GUAIFENESIN,5032,83,
525,CARBIDOPA,197443,83,
526,LEVOCETIRIZINE DIHYDROCHLORIDE,855172,83,
527,TAZAROTENE,83947,83,
528,LISINOPRIL,311353,83,
529,ALCOHOL,1367692,83,
530,ALCOHOL,581658,83,
531,MICONAZOLE NITRATE,998461,83,
532,CALCIUM CARBONATE,476553,83,
533,LOSARTAN POTASSIUM,979480,83,
534,ETHINYL ESTRADIOL,1359022,83,
535,CALCIUM CARBONATE,308892,83,
536,SIMVASTATIN,200345,83,
537,AZELASTINE HYDROCHLORIDE,1797867,83,
538,BUPROPION HYDROCHLORIDE,993557,83,
539,FLUOXETINE HYDROCHLORIDE,310384,82,
540,LAMOTRIGINE,2724462,82,
541,CAMPHOR (SYNTHETIC),200293,82,
542,GLYCERIN,252062,82,
543,BRIMONIDINE TARTRATE,1999016,82,
544,DIVALPROEX SODIUM,1099625,82,
545,GABAPENTIN,283523,82,
546,ACETAMINOPHEN,1049214,82,
547,FLUOCINOLONE ACETONIDE,1191310,82,
548,CALCIUM CARBONATE,317865,82,
549,ACETAMINOPHEN,993770,82,
550,BUPRENORPHINE HYDROCHLORIDE,351265,82,
551,FLUOXETINE HYDROCHLORIDE,313989,82,
552,CHLORPROMAZINE HYDROCHLORIDE,991044,82,
553,DIPHENHYDRAMINE CITRATE,82004,82,
554,DOFETILIDE,284404,82,
555,BACLOFEN,430902,82,
556,PHYTONADIONE,1670192,82,
557,DORZOLAMIDE HYDROCHLORIDE,310015,82,
558,FEXOFENADINE HYDROCHLORIDE,997406,82,
559,HYDRALAZINE HYDROCHLORIDE,905225,82,
560,CHLORPHENIRAMINE MALEATE,1111440,82,
561,OLANZAPINE,283639,82,
562,SALICYLIC ACID,2697740,82,
563,SEPIA OFFICINALIS JUICE,1311144,82,
564,CHLORHEXIDINE GLUCONATE,834127,82,
565,GLYCOPYRROLATE,238212,82,
566,CEFADROXIL,309049,82,
567,BENZALKONIUM CHLORIDE,1046442,82,
568,PREGABALIN,483442,82,
569,ACETAMINOPHEN,161,81,
570,ANAMIRTA COCCULUS SEED,1310018,81,
571,ASCORBIC ACID,999823,81,
572,SALICYLIC ACID,797892,81,
573,HYDROXYZINE PAMOATE,995253,81,
574,BUSPIRONE HYDROCHLORIDE,866018,81,
575,MAGNESIUM CITRATE,52356,81,
576,HYDROCORTISONE,310891,81,
577,NITROGEN,347021,81,
578,DEXTROMETHORPHAN HYDROBROMIDE,1790650,81,
579,GABAPENTIN,310434,81,
580,CALCIUM CARBONATE,308915,81,
581,OATMEAL,1654149,81,
582,ACER NEGUNDO POLLEN,851740,81,
583,NITRIC OXIDE,582608,81,
584,BROMPHENIRAMINE MALEATE,2683421,81,
585,POTASSIUM CHLORIDE,198116,81,
586,CAPSAICIN,2644111,81,
587,BISMUTH SUBSALICYLATE,308762,81,
588,HYDROCHLOROTHIAZIDE,310812,81,
589,ACACIA POLLEN,851732,81,
590,ERYTHROMYCIN,197650,81,
591,DEXAMETHASONE SODIUM PHOSPHATE,309696,81,
592,BENZOYL PEROXIDE,2199869,81,
593,GLYCERIN,259195,81,
594,ROSUVASTATIN CALCIUM,859419,81,
595,LOVASTATIN,197904,81,
596,VALPROIC ACID,1099687,81,
597,DIPHENHYDRAMINE HYDROCHLORIDE,1020477,81,
598,PRAMOXINE HYDROCHLORIDE,1294033,81,
599,METYROSINE,197980,80,
600,HYDROCORTISONE,317564,80,
601,METOPROLOL SUCCINATE,866427,80,
602,SONIDEGIB PHOSPHATE,1659921,80,
603,METOPROLOL TARTRATE,866511,80,
604,ALPRAZOLAM,308047,80,
605,BOSENTAN,349253,80,
606,DEXTROMETHORPHAN HYDROBROMIDE,1090487,80,
607,METOPROLOL TARTRATE,203191,80,
608,ZOLPIDEM TARTRATE,854894,80,
609,GLATIRAMER ACETATE,1487361,80,
610,IMATINIB MESYLATE,403878,80,
611,HYDROCORTISONE,103403,80,
612,RUCAPARIB CAMSYLATE,1862584,80,
613,SULFASALAZINE,198232,80,
614,BALSALAZIDE DISODIUM,885857,80,
615,CHLOROXYLENOL,20877,80,
616,AMOXICILLIN,617430,80,
617,IRBESARTAN,200095,80,
618,ACETAMINOPHEN,1049221,80,
619,ACETAMINOPHEN,1094549,80,
620,CYPROHEPTADINE HYDROCHLORIDE,866144,80,
621,DEXTROMETHORPHAN HYDROBROMIDE,1298324,80,
622,PREDNISONE,198145,80,
623,GINGER,285241,80,
